attr,cate,rank,title,author,price,page,date,type,discount,price_
7,,0,排球少年！！magazine 全 (首刷限定版),古舘春一,優惠價：85折552元,tops,2024-08-05 11:41:08,topsales,85,552
7,,1,耳鳴的腦內大革命,賴仁淙,優惠價：79折276元,tops,2024-08-05 11:41:08,topsales,79,276
7,,2,隱性潛能：華頓商學院最具影響力教授，突破天賦極限的實證科學【博客來獨家版．附人生領航指南書】,亞當．格蘭特,優惠價：79折379元,tops,2024-08-05 11:41:08,topsales,79,379
7,,3,葬送的芙莉蓮 13 (首刷限定版),"山田鐘人,阿部司",優惠價：85折136元,tops,2024-08-05 11:41:08,topsales,85,136
7,,4,我的英雄學院 40 (首刷限定版),堀越耕平,優惠價：85折110元,tops,2024-08-05 11:41:08,topsales,85,110
7,,5,你願意，人生就會值得：蔡康永的情商課3【博客來週年慶獨家‧雙面書籤】,蔡康永,優惠價：79折316元,tops,2024-08-05 11:41:08,topsales,79,316
7,,6,新式型態學：175張圖×22種多空K棒組合×8種獨創型態 股市新手一出手就賺,莎拉（Sara Wang）,優惠價：79折355元,tops,2024-08-05 11:41:08,topsales,79,355
7,,7,驀然回首 全,藤本樹,優惠價：85折93元,tops,2024-08-05 11:41:08,topsales,85,93
7,,8,全知讀者視角11+12完結豪華博客來獨家特典特裝版,sing N song,優惠價：1850元,tops,2024-08-05 11:41:08,topsales,,1850
7,,9,魔法抱抱【情緒管理】（理解並安撫孩子的壞情緒）,郭飛飛,優惠價：7折196元,tops,2024-08-05 11:41:08,topsales,7,196
7,,10,失憶投捕 1,美川絵子,優惠價：85折93元,tops,2024-08-05 11:41:08,topsales,85,93
7,,11,執行長日記：關於事業與人生的33條法則,史蒂文．巴列特,優惠價：79折379元,tops,2024-08-05 11:41:08,topsales,79,379
7,,12,水豚工讀生（博客來獨家限量簽名版）,連俞涵,優惠價：79折355元,tops,2024-08-05 11:41:08,topsales,79,355
7,,13,巨人思維：沒有捷徑，只有努力，從零開始的股市交易員,巨人傑,優惠價：79折355元,tops,2024-08-05 11:41:08,topsales,79,355
7,,14,抄寫英語的奇蹟：1天10分鐘，英語和人生都起飛,林熙 Brett Lindsay,優惠價：79折300元,tops,2024-08-05 11:41:08,topsales,79,300
7,,15,王薀老師的時雨春風 一生一世的感動,善聞文化創意編輯整理,優惠價：300元,tops,2024-08-05 11:41:08,topsales,,300
7,,16,超前部署賺好股：報酬是靠耐心等待出來的，用16年獲利58倍,孫慶龍,優惠價：79折308元,tops,2024-08-05 11:41:08,topsales,79,308
7,,17,林教授教你「這就是技術分析」量價‧時間‧角度：交易是人生最好的修行,林教授,優惠價：79折513元,tops,2024-08-05 11:41:08,topsales,79,513
7,,18,長期買進：財金教授周冠男的42堂自制力投資課,周冠男,優惠價：79折355元,tops,2024-08-05 11:41:08,topsales,79,355
7,,19,讀懂古人的痛，就能跳過現代的坑：史上最潮的國學經典,林俐君（綠君麻麻）,優惠價：79折339元,tops,2024-08-05 11:41:08,topsales,79,339
7,,20,排球少年！！10週年編年史 全 (首刷限定版),古舘春一,優惠價：85折629元,tops,2024-08-05 11:41:08,topsales,85,629
7,,21,我家附近的鳥鄰居（博客來獨家繪簽版，首刷贈限量「跟著阿鏘賞鳥趣！」彩繪明信片組）：超搞笑又認真的鳥類圖鑑，觀察鳥兒們令人意想不到的日常,阿鏘,優惠價：79折331元,tops,2024-08-05 11:41:08,topsales,79,331
7,,22,藤本樹單本完結作品套書(再見繪梨+驀然回首),,優惠價：186元,tops,2024-08-05 11:41:08,topsales,,186
7,,23,葬送的芙莉蓮 13,"山田鐘人,阿部司",優惠價：85折93元,tops,2024-08-05 11:41:08,topsales,85,93
