attr,cate,rank,title,author,price,page,date,type,discount,price_
7,,0,排球少年！！10週年編年史 全 (首刷限定版),古舘春一,優惠價：85折629元,tops,2024-04-26 11:08:20,topsales,85,629
7,,1,親愛的馬克瑪麗2【限量親簽】：Re:上班難、做人更難，我該怎麼辦？（附贈快速通關信封）,歐馬克,優惠價：79折331元,tops,2024-04-26 11:08:20,topsales,79,331
7,,2,遠在謙邊：關於未知的我們 CP寫真書（特裝版/隨機親簽）,關於未知的我們,優惠價：990元,tops,2024-04-26 11:08:20,topsales,,990
7,,3,巨人思維：沒有捷徑，只有努力，從零開始的股市交易員,巨人傑,優惠價：79折355元,tops,2024-04-26 11:08:20,topsales,79,355
7,,4,這輩子賺多少才夠？：【行動清單×10張表格】逆轉勝！成為自己的富一代,Will 黃士豪,優惠價：79折379元,tops,2024-04-26 11:08:20,topsales,79,379
7,,5,小美老師如是說 3,"鹿成徳策,無敵蘇打",優惠價：95折133元,tops,2024-04-26 11:08:20,topsales,95,133
7,,6,噬亡村完全版(08),二宮正明,優惠價：85折212元,tops,2024-04-26 11:08:20,topsales,85,212
7,,7,噬亡村完全版(09),二宮正明,優惠價：85折212元,tops,2024-04-26 11:08:20,topsales,85,212
7,,8,CHANGING！轉型地圖：在變動時代創造新選擇【博客來獨家親簽＋視覺圖像記錄卡（2款隨機出貨）】,Sandy Su（蘇盈如）,優惠價：79折316元,tops,2024-04-26 11:08:20,topsales,79,316
7,,9,原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,優惠價：79折260元,tops,2024-04-26 11:08:20,topsales,79,260
7,,10,關於未知的我們 戲劇寫真書,關於未知的我們,優惠價：79折379元,tops,2024-04-26 11:08:20,topsales,79,379
7,,11,我可能錯了：森林智者的最後一堂人生課,"比約恩．納提科．林德布勞,卡洛琳．班克勒,納維德．莫迪里",優惠價：79折355元,tops,2024-04-26 11:08:20,topsales,79,355
7,,12,傻瓜與超人：30個超越自我，用生命影響生命的故事,"曲全立,趙文豪,王志揚",優惠價：79折363元,tops,2024-04-26 11:08:20,topsales,79,363
7,,13,排球少年！！10週年編年史 全,古舘春一,優惠價：85折561元,tops,2024-04-26 11:08:20,topsales,85,561
7,,14,蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,優惠價：79折316元,tops,2024-04-26 11:08:20,topsales,79,316
7,,15,消失的愛：逆轉我們的時代（博客來獨家印簽版）,陳文茜,優惠價：79折379元,tops,2024-04-26 11:08:20,topsales,79,379
7,,16,抄寫英語的奇蹟：1天10分鐘，英語和人生都起飛,林熙 Brett Lindsay,優惠價：79折300元,tops,2024-04-26 11:08:20,topsales,79,300
7,,17,思辨，從問對問題開始：【暢銷經典版】美國大學邏輯思考聖經,"尼爾．布朗,史都華．基里",優惠價：79折331元,tops,2024-04-26 11:08:20,topsales,79,331
7,,18,你想要的一切，宇宙早已為你預備,克里斯．普倫提斯,優惠價：79折237元,tops,2024-04-26 11:08:20,topsales,79,237
7,,19,台灣資本1949～台商學：跨時代的台商學，1949年以來台灣資本與家族企業傳承的那些故事,"許作名,劉明浩",優惠價：9折378元,tops,2024-04-26 11:08:20,topsales,9,378
7,,20,數據紅利 看77個品牌，如何在巨變下找到藍海,CJ王俊人,優惠價：79折355元,tops,2024-04-26 11:08:20,topsales,79,355
7,,21,媽媽是房子（法國千頁獎童書大獎）,歐霍荷．珀蒂,優惠價：79折315元,tops,2024-04-26 11:08:20,topsales,79,315
7,,22,腸胃營養學全書：融合實證、臨床與研究，改善腸道機能、降低疾病風險最重要的保健指南,王姿允,優惠價：79折458元,tops,2024-04-26 11:08:20,topsales,79,458
7,,23,持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,尼克．馬朱利,優惠價：79折316元,tops,2024-04-26 11:08:20,topsales,79,316
7,,24,AI世界的底層邏輯與生存法則,"程世嘉,蕭玉品",優惠價：79折355元,tops,2024-04-26 11:08:20,topsales,79,355
7,,25,精準節稅——中小企業應該避免的42種稅務風險,陳衍任,優惠價：79折458元,tops,2024-04-26 11:08:20,topsales,79,458
7,,26,五十歲後我出去一下：不當媽媽、太太、媳婦之空巢熟女好好愛自己,彭菊仙,優惠價：79折331元,tops,2024-04-26 11:08:20,topsales,79,331
7,,27,便當實驗室開張：每天做給老公、女兒，偶爾也自己吃,高木直子,優惠價：79折276元,tops,2024-04-26 11:08:20,topsales,79,276
7,,28,艾蜜莉存股術2.0：月薪2.5萬起步 滾到5千萬財富,艾蜜莉,優惠價：79折331元,tops,2024-04-26 11:08:20,topsales,79,331
7,,29,搾精病棟 全年齡版 3 (首刷限定版),"搾精研究所,aomushi",優惠價：95折209元,tops,2024-04-26 11:08:20,topsales,95,209
7,,30,歸來的愛麗絲 5,押見修造,優惠價：95折105元,tops,2024-04-26 11:08:20,topsales,95,105
7,,31,鑄劍為犁：賴幸媛的兩岸談判秘辛,"賴幸媛,林庭瑤",優惠價：79折379元,tops,2024-04-26 11:08:20,topsales,79,379
