title,author,publisher,publication_date,discount,price
巨人的筆記【隨書附「摘要生活大小事」記錄別冊】：用記錄改寫人生的方法,金翼漢,方智,2024-05-01,79,300
巨人的筆記【隨書附「摘要生活大小事」記錄別冊】：用記錄改寫人生的方法 (電子書),金翼漢,方智,2024-05-01,,228
一切安好：結合醫學、肯定句與直覺力的身心靈完全療法,"蒙娜麗莎．舒茲,露易絲‧賀",方智,2024-05-01,79,363
一切安好：結合醫學、肯定句與直覺力的身心靈完全療法 (電子書),"蒙娜麗莎．舒茲,露易絲‧賀",方智,2024-05-01,,290
先別急著吃棉花糖【附棉花糖心法中英抄寫別冊】,"喬辛‧迪‧波沙達,愛倫‧辛格",方智,2024-04-01,79,244
先別急著吃棉花糖【附棉花糖心法中英抄寫別冊】 (電子書),"喬辛‧迪‧波沙達,愛倫‧辛格",方智,2024-04-01,88,190
當整理卡關時：獨居、同住都能實踐的零雜物生活,Phyllis,方智,2024-04-01,79,339
讓奇蹟發生的技術：每個感謝，都會回到你身上,武田雙雲,方智,2024-04-01,79,268
當整理卡關時：獨居、同住都能實踐的零雜物生活 (電子書),Phyllis,方智,2024-04-01,,301
讓奇蹟發生的技術：每個感謝，都會回到你身上 (電子書),武田雙雲,方智,2024-04-01,88,209
醫療靈媒的在地療癒生活指南：朵媽朵爸不藏私全攻略,"徐向立（朵爸）,徐意晴（朵媽）",方智,2024-03-01,79,300
醫療靈媒的在地療癒生活指南：朵媽朵爸不藏私全攻略 (電子書),"徐向立（朵爸）,徐意晴（朵媽）",方智,2024-03-01,88,234
設計好心情：日本設計大師，豐富人生的簡單思考,秋田道夫,方智,2024-03-01,79,260
設計好心情：日本設計大師，豐富人生的簡單思考 (電子書),秋田道夫,方智,2024-03-01,88,203
小學生一天就能學會19×19的心算法,小杉拓也,方智,2024-02-01,79,252
美好人生的驚人祕密：如何在生活中找到平衡與生命意義,高樂．谷巴．達斯,方智,2024-02-01,79,268
小學生一天就能學會19×19的心算法 (電子書),小杉拓也,方智,2024-02-01,88,197
美好人生的驚人祕密：如何在生活中找到平衡與生命意義 (電子書),高樂．谷巴．達斯,方智,2024-02-01,88,209
愛的8法則【《僧人心態》作者愛的力作】：如何找到愛、維繫愛、放下愛,傑．謝帝,方智,2024-01-01,79,418
養兒育女必備中醫知識：經方名醫為父母釋疑，讓孩子健康成長,李宗恩,方智,2024-01-01,79,260
愛的8法則【《僧人心態》作者愛的力作】：如何找到愛、維繫愛、放下愛 (電子書),傑．謝帝,方智,2024-01-01,88,326
養兒育女必備中醫知識：經方名醫為父母釋疑，讓孩子健康成長 (電子書),李宗恩,方智,2024-01-01,88,203
3分鐘未來日記【369天實踐版】：萬人見證的書寫奇蹟,"山田弘美,濱田真由美",方智,2023-12-01,79,426
從好公司輕鬆提款：巴菲特線上學院創辦人的不恐慌、不盯盤美股投資術,林修禾,方智,2023-12-01,79,276
3分鐘未來日記【369天實踐版】：萬人見證的書寫奇蹟 (電子書),"山田弘美,濱田真由美",方智,2023-12-01,88,332
從好公司輕鬆提款：巴菲特線上學院創辦人的不恐慌、不盯盤美股投資術 (電子書),林修禾,方智,2023-12-01,88,215
