title,author,publisher,publication_date,discount,price
藝術超乎想像的力量,"艾薇．羅斯,蘇珊．麥格薩曼",究竟,2024-05-01,79,347
藝術超乎想像的力量 (電子書),"艾薇．羅斯,蘇珊．麥格薩曼",究竟,2024-05-01,,277
拯救未來的我：減少後悔、提升行動力的自我調節心理學,邊池盈,究竟,2024-04-01,79,268
拯救未來的我：減少後悔、提升行動力的自我調節心理學 (電子書),邊池盈,究竟,2024-04-01,88,209
改變學習方式，就能改變人生：價值3600萬的超效學習法,望月俊孝,究竟,2024-03-01,79,276
思考更敏捷，說話更機智：史丹佛MBA必修溝通課,麥特．亞伯拉罕,究竟,2024-03-01,79,308
思考更敏捷，說話更機智：史丹佛MBA必修溝通課 (電子書),麥特．亞伯拉罕,究竟,2024-03-01,88,240
改變學習方式，就能改變人生：價值3600萬的超效學習法 (電子書),望月俊孝,究竟,2024-03-01,88,215
脆弱卻驚人的內在力量：IFS創始人用三個練習，帶你化解過去的傷與現在的苦,里查．史華茲,究竟,2024-02-01,79,252
脆弱卻驚人的內在力量：IFS創始人用三個練習，帶你化解過去的傷與現在的苦 (電子書),里查．史華茲,究竟,2024-02-01,88,197
我的日本爸爸,吳小帽,究竟,2024-01-01,79,292
我的日本爸爸 (電子書),吳小帽,究竟,2024-01-01,88,227
Good Inside教養逆思維：看見孩子脫序行為中的內在需求,貝琪・甘迺迪,究竟,2024-01-01,79,292
我這樣找到人生的答案：「駱駝-獅子-小孩」三階段讀得不一樣人生,高明煥,究竟,2024-01-01,79,276
Good Inside教養逆思維：看見孩子脫序行為中的內在需求 (電子書),貝琪・甘迺迪,究竟,2024-01-01,88,227
我這樣找到人生的答案：「駱駝-獅子-小孩」三階段讀得不一樣人生 (電子書),高明煥,究竟,2024-01-01,88,215
半小時漫畫中國史4：一到宋元，梗就撲面而來!,陳磊（二混子）,究竟,2023-12-01,9,324
半小時漫畫中國史5：明清大亂鬥，笑著笑著就亡了,陳磊（二混子）,究竟,2023-12-01,9,324
如果春秋戰國是個班級：半小時漫畫中國史 (電子書),二混子,究竟,2023-12-01,88,178
半小時漫畫中國史2：兩漢魏晉很有事 (電子書),陳磊（二混子）,究竟,2023-12-01,88,197
半小時漫畫中國史3：隋唐盛世多風雲 (電子書),陳磊（二混子）,究竟,2023-12-01,88,197
半小時漫畫中國史4：一到宋元，梗就撲面而來! (電子書),陳磊（二混子）,究竟,2023-12-01,88,220
半小時漫畫中國史5：明清大亂鬥，笑着笑着就亡了 (電子書),陳磊（二混子）,究竟,2023-12-01,88,220
不當世界的局外人：當世界充滿變數，你需要不被帶風向的國際識讀力,敏迪,究竟,2023-12-01,79,276
不當世界的局外人：當世界充滿變數，你需要不被帶風向的國際識讀力 (電子書),敏迪,究竟,2023-12-01,88,215
重啟人生的17個練習【薩提爾推手李崇建力薦】,羅志仲,究竟,2023-11-01,79,284
佛洛伊德的椅子：化解內在衝突，隨身必備的情緒調節書,鄭道彥,究竟,2023-11-01,79,300
重啟人生的17個練習【薩提爾推手李崇建力薦】 (電子書),羅志仲,究竟,2023-11-01,88,220
佛洛伊德的椅子：化解內在衝突，隨身必備的情緒調節書 (電子書),鄭道彥,究竟,2023-11-01,88,234
可讀、可想、可互動的歷史啓蒙書,伊恩．道森,究竟,2023-09-01,9,306
可讀、可想、可互動的歷史啓蒙書 (電子書),伊恩．道森,究竟,2023-09-01,88,209
火箭老媽，烏龜老爸：我家，或許也是你家的故事,街頭故事 李白,究竟,2023-09-01,79,323
