title,author,publisher,publication_date,discount,price
錯時錯地【已經發生的謀殺，有可能倒轉嗎?】,吉莉安．麥卡利斯特,寂寞,2024-05-01,79,379
錯時錯地【已經發生的謀殺，有可能倒轉嗎?】 (電子書),吉莉安．麥卡利斯特,寂寞,2024-05-01,,288
救命稻草,孫元平,寂寞,2024-04-01,79,316
救命稻草 (電子書),孫元平,寂寞,2024-04-01,,280
金盞花心靈洗滌所,尹淨銀,寂寞,2024-03-01,79,331
金盞花心靈洗滌所【網書限量贈-國際藝術家Daria Song特繪書籍主視覺海報】,尹淨銀,寂寞,2024-03-01,79,331
金盞花心靈洗滌所 (電子書),尹淨銀,寂寞,2024-03-01,88,258
明亮燦爛的你【網書限量.〈是誰拯救最寂寞的她〉雙面書籤】,雪比．范．裴特,寂寞,2024-02-01,9,432
明亮燦爛的你,雪比．范．裴特,寂寞,2024-02-01,9,432
明亮燦爛的你 (電子書),雪比．范．裴特,寂寞,2024-02-01,88,295
詭畫連篇,傑森・雷庫拉克,寂寞,2023-12-01,79,363
詭畫連篇 (電子書),傑森・雷庫拉克,寂寞,2023-12-01,88,283
望遠洞兄弟,金浩然,寂寞,2023-11-01,9,414
望遠洞兄弟【博客來獨家贈FIGHTING明信片組】,金浩然,寂寞,2023-11-01,9,414
望遠洞兄弟 (電子書),金浩然,寂寞,2023-11-01,88,283
父親的解放日記,鄭智我,寂寞,2023-10-01,9,378
父親的解放日記 (電子書),鄭智我,寂寞,2023-10-01,88,258
父親的解放日記【搶先看試讀本】 (電子書),鄭智我,寂寞,2023-09-18,,0
惡魔的租約沒有期限【博客來獨家‧惡魔在身邊雙面書籤】,李樂夏,寂寞,2023-08-01,9,387
惡魔的租約沒有期限 (電子書),李樂夏,寂寞,2023-08-01,88,264
家弒服務,芙麗達．麥法登,寂寞,2023-07-01,79,363
家弒服務 (電子書),芙麗達．麥法登,寂寞,2023-07-01,88,283
家弒服務【精彩試讀本】 (電子書),芙麗達．麥法登,寂寞,2023-06-13,,0
不便利的便利店2,金浩然,寂寞,2023-05-01,79,331
不便利的便利店2 (電子書),金浩然,寂寞,2023-05-01,,294
想殺的孩子,李花兒,寂寞,2023-04-01,9,315
想殺的孩子 (電子書),李花兒,寂寞,2023-03-30,,245
升級UPGRADE,布萊克．克勞奇,寂寞,2023-03-01,9,432
升級UPGRADE (電子書),布萊克．克勞奇,寂寞,2023-02-23,,336
米奇7號,愛德華．艾希頓,寂寞,2023-01-01,9,378
米奇7號 (電子書),愛德華．艾希頓,寂寞,2023-01-01,,294
記憶書店：一個預約復仇的空間,鄭明燮,寂寞,2022-12-01,9,351
記憶書店：一個預約復仇的空間 (電子書),鄭明燮,寂寞,2022-12-01,,273
詛咒兔子,鄭寶拉,寂寞,2022-10-01,9,396
詛咒兔子 (電子書),鄭寶拉,寂寞,2022-10-01,,308
不便利的便利店,金浩然,寂寞,2022-09-01,79,316
不便利的便利店 (電子書),金浩然,寂寞,2022-09-01,,280
女巫瑟西,瑪德琳．米勒,寂寞,2022-08-01,9,432
女巫瑟西 (電子書),瑪德琳．米勒,寂寞,2022-08-01,,336
備份人生：歡迎回來!您的意識已下載,馬修．費茲西蒙斯,寂寞,2022-07-01,9,405
備份人生：歡迎回來!您的意識已下載 (電子書),馬修．費茲西蒙斯,寂寞,2022-07-01,,315
UBIK尤比克【這部小說無所不能，《銀翼殺手》菲利普.狄克傳世經典】,菲利普．狄克,寂寞,2022-05-01,9,387
UBIK尤比克【這部小說無所不能，《銀翼殺手》菲利普.狄克傳世經典】 (電子書),菲利普．狄克,寂寞,2022-05-01,,301
歡迎光臨夢境百貨2：找回不再做夢的人,李美芮,寂寞,2022-04-01,79,363
歡迎光臨夢境百貨2：找回不再做夢的人 (電子書),李美芮,寂寞,2022-04-01,,322
災難觀光團：命懸一線的旅程即將出發,尹高恩,寂寞,2022-03-01,9,324
災難觀光團：命懸一線的旅程即將出發 (電子書),尹高恩,寂寞,2022-03-01,,250
倖存之家,安．派契特,寂寞,2022-01-01,9,432
倖存之家 (電子書),安．派契特,寂寞,2022-01-01,,336
告訴我，你受了什麼苦?,西格麗德．努涅斯,寂寞,2021-12-01,9,351
告訴我，你受了什麼苦? (電子書),西格麗德．努涅斯,寂寞,2021-12-01,,273
靈魂穿越手稿,亞歷斯．蘭德金,寂寞,2021-09-01,9,396
靈魂穿越手稿 (電子書),亞歷斯．蘭德金,寂寞,2021-09-01,,308
歡迎光臨夢境百貨：您所訂購的夢已銷售一空,李美芮,寂寞,2021-08-01,79,339
歡迎光臨夢境百貨：您所訂購的夢已銷售一空 (電子書),李美芮,寂寞,2021-08-01,,301
消失的匿名小說家,亞莉珊卓．安德魯斯,寂寞,2021-07-01,9,378
消失的匿名小說家 (電子書),亞莉珊卓．安德魯斯,寂寞,2021-07-01,,294
什麼荒謬年代,凱俐．瑞德,寂寞,2021-05-01,9,351
什麼荒謬年代 (電子書),凱俐．瑞德,寂寞,2021-05-01,,273
銀河系邊緣的小異常,艾加‧凱磊,寂寞,2020-12-01,9,351
摯友,西格麗德‧努涅斯,寂寞,2020-11-01,9,342
摯友 (電子書),西格麗德‧努涅斯,寂寞,2020-11-01,,266
三股髮辮,萊蒂西亞．寇隆巴尼,寂寞,2020-08-01,7,252
三股髮辮 (電子書),萊蒂西亞．寇隆巴尼,寂寞,2020-08-01,,250
血橙,海莉葉．泰絲,寂寞,2020-07-01,9,342
血橙 (電子書),海莉葉．泰絲,寂寞,2020-07-01,,266
終結狩獵的女孩,大衛．拉格朗茲,寂寞,2020-06-01,9,369
終結狩獵的女孩 (電子書),大衛．拉格朗茲,寂寞,2020-06-01,,287
寂寞終站,班尼迪克‧威爾斯,寂寞,2020-05-01,9,333
神祕雲商城,羅柏．哈特,寂寞,2020-03-01,9,359
神祕雲商城 (電子書),羅柏．哈特,寂寞,2020-03-01,,279
神祕雲商城【博客來獨家封面版】 (電子書),羅柏．哈特,寂寞,2020-03-01,,279
神奇收費亭【電影暖身版.傳奇再現】,諾頓．傑斯特,寂寞,2020-01-01,9,270
神奇收費亭【電影暖身版.傳奇再現】 (電子書),諾頓．傑斯特,寂寞,2020-01-01,,210
五杯酒 (電子書),安．格里芬,寂寞,2019-12-01,,250
五杯酒,安．格里芬,寂寞,2019-12-01,9,324
門,莫欣．哈密,寂寞,2019-11-01,9,324
記憶的玩物,布萊克．克勞奇,寂寞,2019-09-01,9,360
記憶的玩物 (電子書),布萊克．克勞奇,寂寞,2019-09-01,,280
冰龍【冰與火之歌的起點，喬治馬汀最愛的故事】,喬治．馬汀,寂寞,2019-04-01,9,288
冰龍【冰與火之歌的起點，喬治馬汀最愛的故事】 (電子書),喬治．馬汀,寂寞,2019-04-01,,224
暗夜飛行者【喬治馬汀NETFLIX影集原著】,喬治．馬汀,寂寞,2018-11-01,9,378
以眼還眼的女孩,大衛．拉格朗茲,寂寞,2018-09-01,9,360
玩火的女孩【寂寞創社10週年紀念版】 (電子書),史迪格‧拉森,寂寞,2018-08-01,,294
玩火的女孩【寂寞創社10週年紀念版】,史迪格‧拉森,寂寞,2018-08-01,9,378
龍紋身的女孩【寂寞創社10週年紀念版】,史迪格‧拉森,寂寞,2018-08-01,9,378
直搗蜂窩的女孩【寂寞創社10週年紀念版】,史迪格‧拉森,寂寞,2018-08-01,9,405
龍紋身的女孩【寂寞創社10週年紀念版】 (電子書),史迪格‧拉森,寂寞,2018-08-01,,294
直搗蜂窩的女孩【寂寞出版10週年紀念版】 (電子書),史迪格‧拉森,寂寞,2018-08-01,,315
時光邊緣的男人【寂藍燙印版】,麥特．海格,寂寞,2018-03-08,9,333
時光邊緣的男人 (電子書),麥特．海格,寂寞,2018-03-08,,259
人生複本 (電子書),布萊克．克勞奇,寂寞,2018-01-01,,273
挑戰莎士比亞5：轉學生,崔西‧雪佛蘭,寂寞,2017-10-01,9,324
