title,author,publisher,publication_date,discount,price
成就密碼：任何人都能實現夢想的技能,丹尼爾．科伊爾,先覺,2024-05-01,79,323
行為經濟學是最強商業武器：善用人的不理性，一次改變千萬人,相良奈美香,先覺,2024-05-01,79,308
成就密碼：任何人都能實現夢想的技能 (電子書),丹尼爾．科伊爾,先覺,2024-05-01,,258
行為經濟學是最強商業武器：善用人的不理性，一次改變千萬人 (電子書),相良奈美香,先覺,2024-05-01,,234
驢子法則：人生很長，跑得快的不一定笑到最後,瑞秋．安妮．里奇,先覺,2024-04-01,79,316
驢子法則：人生很長，跑得快的不一定笑到最後 (電子書),瑞秋．安妮．里奇,先覺,2024-04-01,88,246
大膽行動：哈佛心理學教授破解負能量，改變人生三步驟,盧安娜．馬奇斯,先覺,2024-03-01,79,339
大膽行動：哈佛心理學教授破解負能量，改變人生三步驟 (電子書),盧安娜．馬奇斯,先覺,2024-03-01,88,264
極簡行銷課：什麼都能賣!創造流量、達成業績的關鍵5步驟,"J.J.彼得森,唐納．米勒",先覺,2024-03-01,79,284
極簡行銷課：什麼都能賣!創造流量、達成業績的關鍵5步驟 (電子書),"J.J.彼得森,唐納．米勒",先覺,2024-03-01,88,220
所有的生命都在流動：大海給你我的生命指引,洛朗絲．德維萊爾,先覺,2024-02-01,79,300
所有的生命都在流動：大海給你我的生命指引 (電子書),洛朗絲．德維萊爾,先覺,2024-02-01,88,234
提高思考解析度：4個視角，將模糊想法化為精準行動,馬田隆明,先覺,2024-01-01,79,347
提高思考解析度：4個視角，將模糊想法化為精準行動 (電子書),馬田隆明,先覺,2024-01-01,88,271
要有一個人：澈讀22種人生，你的人生有無限可能!,楊斯棓,先覺,2024-01-01,79,331
要有一個人：澈讀22種人生，你的人生有無限可能! (電子書),楊斯棓,先覺,2024-01-01,88,258
功能性意象訓練：成功無僥倖，實現目標的科學實證法,"喬安娜．格羅佛,強納森．羅茲",先覺,2023-12-01,9,378
罪行【暢銷百萬紀念版.燙金簽名封面】,費迪南．馮．席拉赫,先覺,2023-12-01,9,297
罪行【暢銷百萬紀念版.燙金簽名封面】 (電子書),費迪南．馮．席拉赫,先覺,2023-12-01,88,203
功能性意象訓練：成功無僥倖，實現目標的科學實證法 (電子書),"喬安娜．格羅佛,強納森．羅茲",先覺,2023-12-01,88,258
慣習Habitus：輕鬆做好準備，躍向人生顛峰,朵莉絲．馬爾汀,先覺,2023-11-01,79,363
慣習Habitus：輕鬆做好準備，躍向人生顛峰 (電子書),朵莉絲．馬爾汀,先覺,2023-11-01,88,283
把微不足道的小事放在心上：千萬職場名師教你做對30個細節，打破職涯天花板,周純如,先覺,2023-10-01,9,324
把微不足道的小事放在心上：千萬職場名師教你做對30個細節，打破職涯天花板 (電子書),周純如,先覺,2023-10-01,88,220
40歲起的人生課：解鎖真正人生，化解焦慮的力量之書,金美敬,先覺,2023-10-01,79,331
40歲起的人生課：解鎖真正人生，化解焦慮的力量之書 (電子書),金美敬,先覺,2023-10-01,88,258
變通思維：劍橋大學、比爾蓋茲、IBM都推崇的四大問題解決工具,保羅．薩瓦加,先覺,2023-09-01,79,331
變通思維：劍橋大學、比爾蓋茲、IBM都推崇的四大問題解決工具 (電子書),保羅．薩瓦加,先覺,2023-09-01,88,258
三千圓的用法：你的人生取決於你怎麼用這筆小錢,原田比香,先覺,2023-09-01,79,284
每天寫，重新寫，寫到最後：《不便利的便利店》韓國百萬暢銷作家生存記,金浩然,先覺,2023-09-01,9,315
三千圓的用法：你的人生取決於你怎麼用這筆小錢 (電子書),原田比香,先覺,2023-09-01,88,220
