title,author,publisher,publication_date,discount,price
我們收割的男人(作者親簽版),潔思敏‧沃德,時報出版,2024-05-21,9,405
勇者系列/第五集：魔王與絕望勇者【限量書衣版】,黃色書刊,時報出版,2024-05-21,9,342
皇冠海岸99：在北海岸要做的99件事【作者親簽版】,小林賢伍,時報出版,2024-05-21,9,405
日式減醣料理：料理名家KAZUX營養師廖欣儀 減脂不減美味的健康瘦身計畫【博客來獨家限量作者親簽版】,"KAZU,廖欣儀",時報出版,2024-05-21,9,405
不只是餓：解放心靈飢餓，擺脫飲食焦慮 - 《我不餓，但我就是想吃》+《餓怒症》套書,"蘇珊．阿爾柏斯,賈德森．布魯爾",時報出版,2024-05-21,9,810
我們收割的男人,潔思敏‧沃德,時報出版,2024-05-21,9,405
女子人際學：受男性欣賞，女性喜愛，人際關係瞬間提升的100個生存守則【輕鬆相處升級版】,有川真由美,時報出版,2024-05-21,9,405
你可以喘口氣：給憂鬱症照顧者的備忘錄,多琪．柯恩,時報出版,2024-05-21,9,270
皇冠海岸99：在北海岸要做的99件事,小林賢伍,時報出版,2024-05-21,9,405
圖解兒少印象派,桑德琳.安卓斯,時報出版,2024-05-21,9,432
睡在掌心的舞台,小川洋子,時報出版,2024-05-21,9,414
莫斯科的情人,白樵,時報出版,2024-05-14,9,414
XXX：晏人物男子寫真 × 阿超(隨書加贈：收藏寫真卡；二款隨機一款),"施智超,晏人物",時報出版,2024-05-14,9,612
XXX：晏人物男子寫真 × 阿超【博客來獨家!禁忌快感海報版】(隨書加贈：收藏寫真卡；二款隨機一款+博客來獨家海報乙張),"施智超,晏人物",時報出版,2024-05-14,9,612
XXX：晏人物男子寫真 × 阿超【博客來獨家!熾熱狂想海報版】(隨書加贈：收藏寫真卡；二款隨機一款+博客來獨家海報乙張),"施智超,晏人物",時報出版,2024-05-14,9,612
難過的話我可以把你吃掉(隨書贈送「快樂的秘訣」自剪貼紙兩款隨機一入+著色明信片組),bibi園長,時報出版,2024-05-14,9,315
台灣「烏克蘭計畫」,上官鼎,時報出版,2024-05-14,9,522
食中作樂：餐桌上的鄉愁食光，三十八道菜譜的生活美味,"亞男,江青",時報出版,2024-05-14,9,450
影響力領導：5大原則培養乘數思維，讓部屬甘心跟隨，締造乘數績效,莉茲．懷斯曼,時報出版,2024-05-14,9,450
被稱作怪物的我：松坂大輔,松坂大輔,時報出版,2024-05-14,9,468
成功人士都在做!鍛鍊大腦的超呼吸法：用呼吸控制自律神經，改善腦疲勞+腦缺氧，工作表現全面提升!,關根朝之,時報出版,2024-05-14,9,342
自己的膝蓋自己救：退化性膝關節炎的真相【暢銷增訂版】,呂紹睿,時報出版,2024-05-14,9,324
善，最好的禮物：靜思心靈小語,釋證嚴,時報出版,2024-05-07,9,405
超完美!股債平衡才能精準致富：巴菲特投資攻略圖解+存債致富,"三原淳雄,郭雅芸（辣媽Shania）",時報出版,2024-05-07,9,657
【靜思語三十五周年精裝紀念版】善，最好的禮物：靜思心靈小語(附限量靜思小語隨機藏書票二入),釋證嚴,時報出版,2024-05-07,9,495
最後的使團：1795年荷蘭使團和一段被遺忘的中西相遇史,歐陽泰,時報出版,2024-05-07,79,458
你怎樣過一天，就怎樣過一生,梁爽,時報出版,2024-05-07,9,360
單純【法國兒童文學現代經典，國際安徒生獎作家作品】,瑪麗奧德．穆海,時報出版,2024-05-07,9,342
親人罹癌，先別慌,王興,時報出版,2024-05-07,9,360
我的冤家我的親,張慰慈,時報出版,2024-05-07,79,252
瘋狂機器人湯(會變身成機器人的繪本),亞當‧魯賓,時報出版,2024-04-30,79,355
紫微攻略‧午後命相館：從命盤找到最好的那條路,大耕老師,時報出版,2024-04-30,79,355
金月蓮,朱嘉漢,時報出版,2024-04-30,79,331
神聖黑色的魔力：徹底改變人類文明、藝術、歷史的黑色故事,約翰‧哈維,時報出版,2024-04-30,79,395
冬日朝聖之路：說走就走，管他去死,黃國瑋（小黃）,時報出版,2024-04-30,79,316
托爾斯泰傳,羅曼‧羅蘭,時報出版,2024-04-30,79,316
女帝 卷一,千樺盡落,時報出版,2024-04-30,79,237
女帝 卷二,千樺盡落,時報出版,2024-04-30,79,276
零吼罵育兒練習：爸媽輕鬆、小孩開心才是王道!,伊藤德馬,時報出版,2024-04-30,79,284
牛仔很忙：歐.亨利短篇小說精選(精裝版),歐．亨利,時報出版,2024-04-30,79,379
金月蓮 (有聲書),朱嘉漢,時報出版,2024-04-30,79,331
金月蓮 (電子書),朱嘉漢,時報出版,2024-04-30,,252
巴奈回家：凱道.二二八公園的二六四四天,"巴奈,徐璐",時報出版,2024-04-30,79,379
用媽祖籤詩搞懂人生：六十甲子籤詩背後的故事，幫你解籤解人生(書+六十甲子媽祖靈籤 隨身籤卡 ),林銘亮,時報出版,2024-04-30,79,458
紫微攻略.午後命相館：從命盤找到最好的那條路 (電子書),大耕老師,時報出版,2024-04-30,,270
把夢，裝進行李,劉倩妏,時報出版,2024-04-30,79,300
巴奈回家：凱道.二二八公園的二六四四天 (電子書),"巴奈,徐璐",時報出版,2024-04-26,88,295
冬日朝聖之路：說走就走，管他去死 (電子書),黃國瑋（小黃）,時報出版,2024-04-26,88,246
托爾斯泰傳 (電子書),羅曼‧羅蘭,時報出版,2024-04-26,88,246
牛仔很忙：歐.亨利短篇小說精選 (電子書),歐．亨利,時報出版,2024-04-26,88,295
用媽祖籤詩搞懂人生 (電子書),林銘亮,時報出版,2024-04-26,88,357
把夢，裝進行李 (電子書),劉倩妏,時報出版,2024-04-26,88,234
神聖黑色的魔力：徹底改變人類文明、藝術、歷史的黑色故事 (電子書),約翰‧哈維,時報出版,2024-04-26,,350
愈跑，心愈強大：跑步教父席翰醫生教你成為自己的英雄(再戰十年版),喬治．席翰,時報出版,2024-04-23,79,355
博物館的守望者：美國大都會藝術博物館與我,派翠克．布林利,時報出版,2024-04-23,79,363
黃旺成的林投帽：近代臺灣的物、日常生活與世界,蔣竹山,時報出版,2024-04-23,79,553
尼泊爾：不平衡的邊界,阿米許．拉傑．穆爾米,時報出版,2024-04-23,79,379
百年周家兩個世界：中國大動盪中一個家庭的悲歡離合,周奇,時報出版,2024-04-23,79,410
有時我獨自念想,楚影,時報出版,2024-04-23,79,300
早上斷食，九成的毛病都會消失!(增訂版),鶴見隆史,時報出版,2024-04-23,79,252
別再因創傷而活得好累：修復發展性創傷，從「把自己擺在第一位」開始,三木一太朗,時報出版,2024-04-23,79,316
早上斷食，九成的毛病都會消失!(增訂版) (電子書),鶴見隆史,時報出版,2024-04-23,,192
膽小別看畫V： 疾病、天災、戰爭、飢荒……停格在西方名畫中，數千年未曾改變的災難與浩劫,中野京子,時報出版,2024-04-23,79,395
離開舒適圈之後，抵達成熟之前：一場奇幻的海外職場大冒險,Jeff C.,時報出版,2024-04-23,79,300
那一天，我追的歐巴成為了罪犯,吳洗娟,時報出版,2024-04-23,79,355
醫美大叔的戀愛腦摘除手術,萬寶城,時報出版,2024-04-23,79,300
黃旺成的林投帽：近代臺灣的物、日常生活與世界 (電子書),蔣竹山,時報出版,2024-04-19,88,431
愈跑，心愈強大：跑步教父席翰醫生教你成為自己的英雄(再戰十年版) (電子書),喬治．席翰,時報出版,2024-04-19,88,277
尼泊爾：不平衡的邊界 (電子書),阿米許．拉傑．穆爾米,時報出版,2024-04-19,88,295
有時我獨自念想 (電子書),楚影,時報出版,2024-04-19,88,234
別再因創傷而活得好累：修復發展性創傷，從「把自己擺在第一位」開始 (電子書),三木一太朗,時報出版,2024-04-19,88,246
百年周家兩個世界：中國大動盪中一個家庭的悲歡離合 (電子書),周奇,時報出版,2024-04-19,88,320
離開舒適圈之後，抵達成熟之前：一場奇幻的海外職場大冒險 (電子書),Jeff C.,時報出版,2024-04-19,88,234
醫美大叔的戀愛腦摘除手術 (電子書),萬寶城,時報出版,2024-04-19,88,234
三十女子微物誌,吳緯婷,時報出版,2024-04-16,79,300
乩童醫生,蘇上豪,時報出版,2024-04-16,79,300
告別莫札特,中山七里,時報出版,2024-04-16,79,379
肌膚算病【望診護膚篇】：三代中醫教你從皮膚解讀體質密碼，對症調理、控熱排毒，養出不老好膚質!,施丞修,時報出版,2024-04-16,79,331
沒有最好的季節，轉個念一切都是剛剛好,林永勝,時報出版,2024-04-16,79,331
Google衝刺工作法：Google打造成功產品的祕密，5天5步驟迅速解決難題、測試新點子、完成更多工作!(暢銷新裝版),"傑克．納普,布雷登．柯維茲,約翰．澤拉斯基",時報出版,2024-04-16,79,355
法布爾昆蟲記立體書,尚-亨利．法布爾,時報出版,2024-04-16,79,1019
三十女子微物誌 (電子書),吳緯婷,時報出版,2024-04-12,88,234
肌膚算病【望診護膚篇】：三代中醫教你從皮膚解讀體質密碼，對症調理、控熱排毒，養出不老好膚質! (電子書),施丞修,時報出版,2024-04-12,88,258
Google衝刺工作法：Google打造成功產品的祕密，5天5步驟迅速解決難題、測試新點子、完成更多工作!(暢銷新裝版) (電子書),"傑克．納普,布雷登．柯維茲,約翰．澤拉斯基",時報出版,2024-04-12,88,277
沒有最好的季節，轉個念一切都是剛剛好 (電子書),林永勝,時報出版,2024-04-12,88,258
渡阡陌：我家的兩岸故事(二),財團法人沈春池文教基金會,時報出版,2024-04-09,79,355
自由主義VS身分政治：《自由主義和對其的不滿》§+《身分政治：民粹崛起、民主倒退，認同與尊嚴的鬥爭為何席捲當代世界?》,法蘭西斯‧福山,時報出版,2024-04-09,75,562
雲水千重,靳山,時報出版,2024-04-09,79,252
