title,author,publisher,publication_date,discount,price
媽媽的說話練習2：培育內心堅韌、不畏失敗的不倒翁孩子,尹智映,圓神,2024-05-01,79,284
母愛的枷鎖，女兒的牢籠,齊藤彩,圓神,2024-04-01,79,276
有生之年，只想好好談場戀愛,孤島Joe,圓神,2024-03-01,79,308
有生之年，只想好好談場戀愛【網書限量.孤島明信片】,孤島Joe,圓神,2024-03-01,79,308
好事即將發生：史努比Snoopy陪你找到自我認同，激勵低潮人生,"亞伯拉罕．托爾斯基,查爾斯．M．舒茲",圓神,2024-03-01,79,268
改寫你的金錢心靈帳簿(附金錢覺察卡隨身版+週記本)：解讀金錢記憶，預約財富自由,張瑜芬,圓神,2024-02-01,79,323
長途旅客,豆苗先生,圓神,2024-02-01,79,308
憤怒日記：誠實面對欲望，在殘酷世界迎向勝利,孫秀賢,圓神,2024-01-01,9,369
你的謎底，我的謎題,小川哲,圓神,2024-01-01,79,260
戀家的人︰五個獨居女子的溫暖家居生活,井田千秋,圓神,2023-12-01,79,284
深入內在的轉化與修行：獲得心靈真正的自由,朱筧立仁波切,圓神,2023-12-01,79,237
宜日日好日：好日曆，陪伴你長成更好的大人,好日曆,圓神,2023-11-02,79,410
宜日日好日：好日曆，陪伴你長成更好的大人【親簽+月曆】,好日曆,圓神,2023-11-02,79,600
HOLD不住的才是人生：媽媽、老婆、女兒、女明星，沒一個做得好，卻把自己過得很好!,謝依霖（HOLD住姐）,圓神,2023-11-01,9,369
奪取天下的少女【2024本屋大賞第1名!連奪14座冠軍!】,宮島未奈,圓神,2023-11-01,79,276
失去的喜悅：朦朧黑暗中所見的人生美好,法蘭克．布魯尼,圓神,2023-10-01,9,369
找回自己，找回親密,巴小波,圓神,2023-09-01,79,268
這些人，那些事【歲月淬鍊增訂版，全新收錄動人篇章】,吳念真,圓神,2023-09-01,79,284
感動的時刻，力量最大：真情相待，都是人性美與善的循環,戴晨志,圓神,2023-08-01,9,342
關鍵思維：解除焦慮，成為不凡的關鍵人物,馬克凡（Mark Ven）,圓神,2023-08-01,9,315
寫作課：陳雪給創作者的12道心法,陳雪,圓神,2023-07-01,79,316
真人真事真有事：那些課本沒有教的小故事、大歷史,Zass17,圓神,2023-07-01,9,297
心理能量使用說明書：安度靈魂暗夜，迎來豐盛人生,蘇予昕,圓神,2023-06-01,79,300
極光飯糰手習帖：免基礎、零失敗的140道超人氣料理,極光,圓神,2023-06-01,9,405
鐵道員【直木獎名作‧淺田次郎經典新譯】,淺田次郎,圓神,2023-06-01,9,342
從我開始的關係功課：先和自己打好關係，才能與他人建立好感連結,"徐慧玲 Lynn,羅鈞鴻（小虎）",圓神,2023-05-01,79,276
媽媽的說話練習：百萬按讚肯定!說對一句話，祝福孩子一生(附贈親子減壓溝通練習手冊),尹智映,圓神,2023-05-01,79,292
你不能選擇出身，但能活出想要的人生：大姐Selena寫給不甘現狀、不想放棄的你,陳珮甄 Selena,圓神,2023-04-01,9,315
安好誌(安然‧美好雙書腰，隨機出貨),白安,圓神,2023-03-01,79,323
心中住著野孩子,凱莉哥,圓神,2023-03-01,9,351
車上的女兒,宇佐見鈴,圓神,2023-03-01,9,288
我決定刻薄地生活：在不受傷害的情況下，打動人心的關係心理學【隨書加贈「自信有理，刻薄無罪!」金句書籤】,楊昌順,圓神,2023-02-01,7,252
假裝自己很外向，你在迎合什麼?：外向孤獨者的勇氣之書,楊思遠,圓神,2023-02-01,9,252
共擔池上：梁正賢翻轉地方的思維與商戰,梁正賢,圓神,2023-01-01,9,306
愛對自己,女王,圓神,2023-01-01,9,396
看似簡單卻說不出口的英文，原來這樣講,學英文吧IVY BAR,圓神,2022-12-01,9,360
執筆的欲望,席慕蓉,圓神,2022-12-01,9,441
深入人心的神表達：從一人告白到萬人演講，有邏輯就能說出精彩,"五頓,陶峻",圓神,2022-11-01,7,217
有母親等待的故鄉,淺田次郎,圓神,2022-11-01,9,360
乘風破浪的蛋黃酥：擁抱無可救藥的樂觀,何雪帆（美樂蒂 Melody）,圓神,2022-10-01,9,324
大V的正向教養實驗：融合蒙特梭利、薩提爾，不打罵、不利誘，養出孩子的好習慣,大V,圓神,2022-10-01,9,342
閱讀的方法：找到文明世界中，本該如此的我,羅振宇,圓神,2022-09-01,9,369
少女的祈禱,陳雪,圓神,2022-09-01,79,300
動機【橫山秀夫經典短篇集】,橫山秀夫,圓神,2022-09-01,9,342
自我的誕生：幫你建立強大真實的自己,武志紅,圓神,2022-08-01,9,324
成為讓別人快樂的人：母親留給我唯一重要的東西,永松茂久,圓神,2022-08-01,9,306
十分鐘熱度學習法：一句英語都不會說的少女，這樣成為美國律師,徐東珠,圓神,2022-07-01,9,315
因果螺旋：跨越時空的探索與思辨,陳建仁,圓神,2022-07-01,9,369
隈研吾建築圖鑑：專業導覽及手繪千幅圖片，美學、知識、旅遊一本全收錄,宮澤洋,圓神,2022-06-01,9,369
華燈之下：條通媽媽桑的懺情錄,敦子媽媽,圓神,2022-06-01,79,268
妳可以乖，但不能不懂男人的壞,大叔,圓神,2022-05-01,9,306
普通人的海外求職指南：不必留學，也能讓國際工作主動找上你,謝宗廷,圓神,2022-05-01,9,288
日本第一女公關的人際溝通術：不靠靈巧也能創造億萬業績的祕密,Enrike（小川愛莉）,圓神,2022-04-01,79,252
意念使用手冊：瞬間改變時間和空間的量子習慣,村松大輔,圓神,2022-04-01,9,279
先行者：名醫劉偉民逆流而上的人生,劉偉民,圓神,2022-03-01,9,270
塗鴉吧!用視覺模板翻轉人生：6種框架x4個步驟，學習、工作、時間管理全搞定,邱奕霖,圓神,2022-03-01,9,333
ROLAND‧羅蘭【日本第一男公關‧漫畫二部曲】(全2冊不分售),"ROLAND,井上紀良",圓神,2022-02-01,9,594
高度狂熱【推理大師橫山秀夫․經典重譯珍藏版】,橫山秀夫,圓神,2022-02-01,9,378
傻瓜一直在路上：生命的練習曲,"曲全立,趙文豪",圓神,2022-01-01,9,342
脫癮而出不迷網：寫給網路原生世代父母的教養書,陳志恆,圓神,2022-01-01,79,252
微胖生存學：別讓體重決定妳的美,波痞,圓神,2021-12-01,9,333
萬事皆美好：讓無數希臘人感受幸福的禮物書,史戴凡諾斯．詹內奇斯,圓神,2021-12-01,9,279
別哭，切諾比,陳昇,圓神,2021-11-03,7,343
開心嗎?麗春,陳昇,圓神,2021-11-03,7,343
爸爸媽媽，請你看見我!,蔡沅達,圓神,2021-11-01,9,270
為什麼大家都來問我?只因受苦的人想得更透徹,幡野廣志,圓神,2021-11-01,9,288
氤氳之城【當代最受歡迎西班牙作家薩豐，獻給書迷的告別故事集】,卡洛斯．魯依斯．薩豐,圓神,2021-10-01,9,324
同姓同名,下村敦史,圓神,2021-10-01,9,360
焦慮是你的隱性天賦：倫敦大學心理諮商博士帶你看清負面情緒的強大力量,尹依依,圓神,2021-10-01,79,237
衝破黨禁1986：民進黨創黨關鍵十日紀實,王曉玟,圓神,2021-09-01,9,450
社會在走，歷史要懂：呂捷開講,呂捷,圓神,2021-09-01,9,297
達賴喇嘛談心經【好讀大字版】,達賴喇嘛,圓神,2021-08-01,9,279
法治大國的日常小事,鄭華娟,圓神,2021-08-01,9,315
什麼樣的禮物可以拯救你的人生?,伊蒂特．伊娃．伊格,圓神,2021-08-01,79,260
