title,author,publisher,publication_date,discount,price,url,canbuy
正是時候讀叔本華：平息內在的風暴，別浪費生命向外炫耀,姜龍洙,究竟,2024-08-01,79.0,308,https://www.books.com.tw/products/0010995767?loc=P_0005_001,True
正是時候讀叔本華：平息內在的風暴，別浪費生命向外炫耀 (電子書),姜龍洙,究竟,2024-08-01,,234,https://www.books.com.tw/products/E050227224?loc=P_0005_002,True
厭世說新語：天生我材必有用，勇者不必鬥惡龍,厭世國文老師,究竟,2024-07-01,79.0,292,https://www.books.com.tw/products/0010992787?loc=P_0005_003,True
厭世說新語【圖章親簽版+「寧作我」勇者首刷限量貼紙】：天生我材必有用，勇者不必鬥惡龍,厭世國文老師,究竟,2024-07-01,79.0,292,https://www.books.com.tw/products/0010992788?loc=P_0005_004,True
厭世說新語：天生我材必有用，勇者不必鬥惡龍 (電子書),厭世國文老師,究竟,2024-07-01,88.0,227,https://www.books.com.tw/products/E050223263?loc=P_0005_005,True
世代的創傷到我為止：卸下包袱，重塑正向能量,瑪麗．布奎,究竟,2024-06-01,79.0,347,https://www.books.com.tw/products/0010989952?loc=P_0005_006,True
世代的創傷到我為止：卸下包袱，重塑正向能量 (電子書),瑪麗．布奎,究竟,2024-06-01,88.0,271,https://www.books.com.tw/products/E050217707?loc=P_0005_007,True
不反應的練習：讓所有煩惱都消失，世界最強、最古老的心理訓練入門,草薙龍瞬,究竟,2024-06-01,79.0,252,https://www.books.com.tw/products/0010989947?loc=P_0005_008,True
在寂寞的夜裡提起筆【《被討厭的勇氣》作者，寫給所有人的理解自我之書】,古賀史健,究竟,2024-06-01,79.0,363,https://www.books.com.tw/products/0010989954?loc=P_0005_009,True
在寂寞的夜裡提起筆【博客來獨家贈繽紛海洋日記本+藏書卡組】,古賀史健,究竟,2024-06-01,79.0,363,https://www.books.com.tw/products/0010989956?loc=P_0005_010,True
在寂寞的夜裡提起筆【《被討厭的勇氣》作者，寫給所有人的理解自我之書】 (電子書),古賀史健,究竟,2024-06-01,88.0,283,https://www.books.com.tw/products/E050217706?loc=P_0005_011,True
在寂寞的夜裡提起筆【精采試讀本】 (電子書),古賀史健,究竟,2024-05-13,,0,https://www.books.com.tw/products/E050216646?loc=P_0005_012,False
藝術超乎想像的力量,"艾薇．羅斯,蘇珊．麥格薩曼",究竟,2024-05-01,79.0,347,https://www.books.com.tw/products/0010987646?loc=P_0005_013,True
藝術超乎想像的力量 (電子書),"艾薇．羅斯,蘇珊．麥格薩曼",究竟,2024-05-01,88.0,271,https://www.books.com.tw/products/E050214289?loc=P_0005_014,True
拯救未來的我：減少後悔、提升行動力的自我調節心理學,邊池盈,究竟,2024-04-01,79.0,268,https://www.books.com.tw/products/0010984995?loc=P_0005_015,True
拯救未來的我：減少後悔、提升行動力的自我調節心理學 (電子書),邊池盈,究竟,2024-04-01,88.0,209,https://www.books.com.tw/products/E050210414?loc=P_0005_016,True
改變學習方式，就能改變人生：價值3600萬的超效學習法,望月俊孝,究竟,2024-03-01,79.0,276,https://www.books.com.tw/products/0010982910?loc=P_0005_017,True
思考更敏捷，說話更機智：史丹佛MBA必修溝通課,麥特．亞伯拉罕,究竟,2024-03-01,79.0,308,https://www.books.com.tw/products/0010982920?loc=P_0005_018,True
思考更敏捷，說話更機智：史丹佛MBA必修溝通課 (電子書),麥特．亞伯拉罕,究竟,2024-03-01,88.0,240,https://www.books.com.tw/products/E050204149?loc=P_0005_019,True
改變學習方式，就能改變人生：價值3600萬的超效學習法 (電子書),望月俊孝,究竟,2024-03-01,88.0,215,https://www.books.com.tw/products/E050204150?loc=P_0005_020,True
脆弱卻驚人的內在力量：IFS創始人用三個練習，帶你化解過去的傷與現在的苦,里查．史華茲,究竟,2024-02-01,79.0,252,https://www.books.com.tw/products/0010980282?loc=P_0005_021,True
脆弱卻驚人的內在力量：IFS創始人用三個練習，帶你化解過去的傷與現在的苦 (電子書),里查．史華茲,究竟,2024-02-01,88.0,197,https://www.books.com.tw/products/E050200382?loc=P_0005_022,True
我的日本爸爸,吳小帽,究竟,2024-01-01,79.0,292,https://www.books.com.tw/products/0010976755?loc=P_0005_023,True
我的日本爸爸 (電子書),吳小帽,究竟,2024-01-01,88.0,227,https://www.books.com.tw/products/E050194713?loc=P_0005_024,True
Good Inside教養逆思維：看見孩子脫序行為中的內在需求,貝琪・甘迺迪,究竟,2024-01-01,79.0,292,https://www.books.com.tw/products/0010976747?loc=P_0005_025,True
我這樣找到人生的答案：「駱駝-獅子-小孩」三階段讀得不一樣人生,高明煥,究竟,2024-01-01,79.0,276,https://www.books.com.tw/products/0010976757?loc=P_0005_026,True
Good Inside教養逆思維：看見孩子脫序行為中的內在需求 (電子書),貝琪・甘迺迪,究竟,2024-01-01,88.0,227,https://www.books.com.tw/products/E050194712?loc=P_0005_027,True
我這樣找到人生的答案：「駱駝-獅子-小孩」三階段讀得不一樣人生 (電子書),高明煥,究竟,2024-01-01,88.0,215,https://www.books.com.tw/products/E050194714?loc=P_0005_028,True
半小時漫畫中國史4：一到宋元，梗就撲面而來!,陳磊（二混子）,究竟,2023-12-01,9.0,324,https://www.books.com.tw/products/0010973872?loc=P_0005_029,True
半小時漫畫中國史5：明清大亂鬥，笑著笑著就亡了,陳磊（二混子）,究竟,2023-12-01,9.0,324,https://www.books.com.tw/products/0010973873?loc=P_0005_030,True
如果春秋戰國是個班級：半小時漫畫中國史 (電子書),二混子,究竟,2023-12-01,88.0,178,https://www.books.com.tw/products/E050190614?loc=P_0005_031,True
半小時漫畫中國史2：兩漢魏晉很有事 (電子書),陳磊（二混子）,究竟,2023-12-01,88.0,197,https://www.books.com.tw/products/E050190615?loc=P_0005_032,True
半小時漫畫中國史3：隋唐盛世多風雲 (電子書),陳磊（二混子）,究竟,2023-12-01,88.0,197,https://www.books.com.tw/products/E050190616?loc=P_0005_033,True
半小時漫畫中國史4：一到宋元，梗就撲面而來! (電子書),陳磊（二混子）,究竟,2023-12-01,88.0,220,https://www.books.com.tw/products/E050190617?loc=P_0005_034,True
半小時漫畫中國史5：明清大亂鬥，笑着笑着就亡了 (電子書),陳磊（二混子）,究竟,2023-12-01,88.0,220,https://www.books.com.tw/products/E050190618?loc=P_0005_035,True
不當世界的局外人：當世界充滿變數，你需要不被帶風向的國際識讀力,敏迪,究竟,2023-12-01,79.0,276,https://www.books.com.tw/products/0010973847?loc=P_0005_036,True
不當世界的局外人：當世界充滿變數，你需要不被帶風向的國際識讀力 (電子書),敏迪,究竟,2023-12-01,88.0,215,https://www.books.com.tw/products/E050190613?loc=P_0005_037,True
重啟人生的17個練習【薩提爾推手李崇建力薦】,羅志仲,究竟,2023-11-01,79.0,284,https://www.books.com.tw/products/0010971333?loc=P_0005_038,True
佛洛伊德的椅子：化解內在衝突，隨身必備的情緒調節書,鄭道彥,究竟,2023-11-01,79.0,300,https://www.books.com.tw/products/0010971351?loc=P_0005_039,True
重啟人生的17個練習【薩提爾推手李崇建力薦】 (電子書),羅志仲,究竟,2023-11-01,88.0,220,https://www.books.com.tw/products/E050184782?loc=P_0005_040,True
佛洛伊德的椅子：化解內在衝突，隨身必備的情緒調節書 (電子書),鄭道彥,究竟,2023-11-01,88.0,234,https://www.books.com.tw/products/E050184783?loc=P_0005_041,True
可讀、可想、可互動的歷史啓蒙書,伊恩．道森,究竟,2023-09-01,9.0,306,https://www.books.com.tw/products/0010965786?loc=P_0005_042,True
可讀、可想、可互動的歷史啓蒙書 (電子書),伊恩．道森,究竟,2023-09-01,88.0,209,https://www.books.com.tw/products/E050175767?loc=P_0005_043,True
火箭老媽，烏龜老爸：我家，或許也是你家的故事,街頭故事 李白,究竟,2023-09-01,79.0,323,https://www.books.com.tw/products/0010965785?loc=P_0005_044,True
火箭老媽，烏龜老爸：我家，或許也是你家的故事 (電子書),街頭故事 李白,究竟,2023-09-01,88.0,252,https://www.books.com.tw/products/E050175768?loc=P_0005_045,True
Me Time：兼顧工作和生活的時間管理術,池田千恵,究竟,2023-08-01,9.0,288,https://www.books.com.tw/products/0010962889?loc=P_0005_046,True
秒懂過動與自閉的內心世界,岩瀨利郎,究竟,2023-08-01,79.0,252,https://www.books.com.tw/products/0010962973?loc=P_0005_047,True
秒懂過動與自閉的內心世界 (電子書),岩瀨利郎,究竟,2023-08-01,88.0,197,https://www.books.com.tw/products/E050171794?loc=P_0005_048,True
Me Time：兼顧工作和生活的時間管理術 (電子書),池田千恵,究竟,2023-08-01,88.0,197,https://www.books.com.tw/products/E050171795?loc=P_0005_049,True
此人進廠維修中!：為心靈放個小假，安頓複雜的情緒 (電子書),陳志恆,究竟,2023-07-01,,175,https://www.books.com.tw/products/E050167050?loc=P_0005_050,True
箱庭世界史：俯瞰107個重大歷史事件，快速建立國際觀,田中正人,究竟,2023-07-01,9.0,378,https://www.books.com.tw/products/0010960212?loc=P_0005_051,True
箱庭世界史：俯瞰107個重大歷史事件，快速建立國際觀 (電子書),田中正人,究竟,2023-07-01,,294,https://www.books.com.tw/products/E050167049?loc=P_0005_052,True
【全球暢銷360萬本慶功版】不生病的生活：新谷飲食法，全美首席胃腸科醫師的健康秘訣 (電子書),新谷弘實,究竟,2023-06-01,,161,https://www.books.com.tw/products/E050161918?loc=P_0005_053,True
理性生活【暢銷60年!理情行為療法經典】：教你打破慣性，改寫自己的人生故事,"亞伯．艾里斯,羅伯特．哈珀",究竟,2023-06-01,79.0,395,https://www.books.com.tw/products/0010957474?loc=P_0005_054,True
理性生活【暢銷60年!理情行為療法經典】：教你打破慣性，改寫自己的人生故事 (電子書),"亞伯．艾里斯,羅伯特．哈珀",究竟,2023-06-01,88.0,308,https://www.books.com.tw/products/E050161920?loc=P_0005_055,True
女醫師教你真正愉悅的性愛【暢銷珍藏版】(附成人漫畫家春輝的精美插畫書衣海報),宋美玄,究竟,2023-05-01,9.0,306,https://www.books.com.tw/products/0010954880?loc=P_0005_056,False
女醫師教你真正愉悅的性愛【暢銷珍藏版】(電子書收錄成人漫畫家春輝的精美插畫) (電子書),宋美玄,究竟,2023-05-01,88.0,209,https://www.books.com.tw/products/E050158867?loc=P_0005_057,False
和古代學霸擊個掌：大叔可以成偶像，小混混可以成良將，學習就是最好的翻身術,急腳大師,究竟,2023-04-01,9.0,306,https://www.books.com.tw/products/0010952690?loc=P_0005_058,True
和古代學霸擊個掌：大叔可以成偶像，小混混可以成良將，學習就是最好的翻身術 (電子書),急腳大師,究竟,2023-03-30,,238,https://www.books.com.tw/products/E050156310?loc=P_0005_059,True
一日看盡長安花：大唐沉浸式生活體驗,覃宜明,究竟,2023-03-01,7.0,252,https://www.books.com.tw/products/0010950219?loc=P_0005_060,True
一日看盡長安花：大唐沉浸式生活體驗 (電子書),覃宜明,究竟,2023-02-23,,250,https://www.books.com.tw/products/E050154154?loc=P_0005_061,True
莫莉的心靈探索之旅：看見自己內在的寶藏，世界就此改變了!,安娜．卡蜜拉．庫普卡,究竟,2023-02-01,9.0,270,https://www.books.com.tw/products/0010947079?loc=P_0005_062,True
莫莉的心靈探索之旅：看見自己內在的寶藏，世界就此改變了! (電子書),安娜．卡蜜拉．庫普卡,究竟,2023-01-18,,210,https://www.books.com.tw/products/E050151845?loc=P_0005_063,True
人善被犬欺：如何得到尊重、畫下界線，贏得你應有的成功(附「人太好」檢測),馬丁．維爾勒,究竟,2023-01-01,66.0,297,https://www.books.com.tw/products/0010945065?loc=P_0005_064,True
人善被犬欺：如何得到尊重、畫下界線，贏得你應有的成功(附「人太好」檢測) (電子書),馬丁．維爾勒,究竟,2023-01-01,88.0,277,https://www.books.com.tw/products/E050150323?loc=P_0005_065,True
陪伴心理學,黃士鈞（哈克）,究竟,2022-12-01,79.0,284,https://www.books.com.tw/products/0010941911?loc=P_0005_066,True
陪伴心理學 (電子書),黃士鈞（哈克）,究竟,2022-12-01,,250,https://www.books.com.tw/products/E050147904?loc=P_0005_067,True
厭世讀論語：千年名師神回覆，開解你的人生疑難,厭世國文老師,究竟,2022-11-01,79.0,268,https://www.books.com.tw/products/0010939344?loc=P_0005_068,True
厭世讀論語：千年名師神回覆，開解你的人生疑難 (電子書),厭世國文老師,究竟,2022-11-01,,238,https://www.books.com.tw/products/E050144930?loc=P_0005_069,True
守密：祕密心理學的第一本書!那些藏著不說的，如何影響你的健康與未來,麥可．史萊平恩,究竟,2022-10-01,66.0,244,https://www.books.com.tw/products/0010936379?loc=P_0005_070,True
守密：祕密心理學的第一本書!那些藏著不說的，如何影響你的健康與未來 (電子書),麥可．史萊平恩,究竟,2022-10-01,,259,https://www.books.com.tw/products/E050142416?loc=P_0005_071,True
獨立鍛造：一生受益的自我心理學，重新領悟生命八大任務，邁向圓滿,蘇絢慧,究竟,2022-10-01,79.0,292,https://www.books.com.tw/products/0010936407?loc=P_0005_072,True
獨立鍛造：一生受益的自我心理學，重新領悟生命八大任務，邁向圓滿 (電子書),蘇絢慧,究竟,2022-10-01,,259,https://www.books.com.tw/products/E050142415?loc=P_0005_073,True
社群故事圈粉術：將流量變現，讓興趣為你工作,街頭故事 李白,究竟,2022-09-01,79.0,339,https://www.books.com.tw/products/0010933546?loc=P_0005_074,True
社群故事圈粉術：將流量變現，讓興趣為你工作【獨家收錄全新專文】 (電子書),街頭故事 李白,究竟,2022-09-01,,301,https://www.books.com.tw/products/E050140533?loc=P_0005_075,True
你的大腦有點Blue：史上最舒適年代，為什麼還是焦慮不安?,安德斯・韓森,究竟,2022-09-01,9.0,288,https://www.books.com.tw/products/0010933561?loc=P_0005_076,True
你的大腦有點Blue：史上最舒適年代，為什麼還是焦慮不安? (電子書),安德斯・韓森,究竟,2022-09-01,,224,https://www.books.com.tw/products/E050140534?loc=P_0005_077,True
先別急著挑戰人性：20個經典心理實驗，帶你認識自己，人生不踩雷,潘楷文,究竟,2022-08-01,9.0,342,https://www.books.com.tw/products/0010930769?loc=P_0005_078,True
先別急著挑戰人性：20個經典心理實驗，帶你認識自己，人生不踩雷 (電子書),潘楷文,究竟,2022-08-01,,266,https://www.books.com.tw/products/E050138260?loc=P_0005_079,True
量子思考：跳脫常識，在沒有答案的世界裡找到自己的路,村上憲郎,究竟,2022-07-01,9.0,315,https://www.books.com.tw/products/0010927881?loc=P_0005_080,True
當牧師精神崩潰了：心理受創時，這樣找到救贖之道,沼田和也,究竟,2022-07-01,9.0,279,https://www.books.com.tw/products/0010927888?loc=P_0005_081,True
