title,author,publisher,publication_date,discount,price,url,canbuy
女大當家,李瑟娥,寂寞,2024-08-01,79.0,331,https://www.books.com.tw/products/0010995763?loc=P_0005_001,1.0
女大當家 (電子書),李瑟娥,寂寞,2024-08-01,,252,https://www.books.com.tw/products/E050227231?loc=P_0005_002,1.0
情敵【《不便利的便利店》金浩然生涯最深情之作】,金浩然,寂寞,2024-07-01,79.0,347,https://www.books.com.tw/products/0010992775?loc=P_0005_003,1.0
情敵【《不便利的便利店》金浩然生涯最深情之作】 (電子書),金浩然,寂寞,2024-07-01,88.0,271,https://www.books.com.tw/products/E050223266?loc=P_0005_004,1.0
家弒絕招【刺激懸疑再升級!《家弒服務》超狂續集】,芙麗達．麥法登,寂寞,2024-06-01,79.0,363,https://www.books.com.tw/products/0010989975?loc=P_0005_005,1.0
家弒絕招【刺激懸疑再升級!《家弒服務》超狂續集】 (電子書),芙麗達．麥法登,寂寞,2024-06-01,88.0,283,https://www.books.com.tw/products/E050217708?loc=P_0005_006,1.0
家弒絕招【精采試讀本】 (電子書),芙麗達．麥法登,寂寞,2024-05-13,,0,https://www.books.com.tw/products/E050216647?loc=P_0005_007,0.0
錯時錯地【已經發生的謀殺，有可能倒轉嗎?】,吉莉安．麥卡利斯特,寂寞,2024-05-01,79.0,379,https://www.books.com.tw/products/0010987643?loc=P_0005_008,1.0
錯時錯地【已經發生的謀殺，有可能倒轉嗎?】 (電子書),吉莉安．麥卡利斯特,寂寞,2024-05-01,88.0,295,https://www.books.com.tw/products/E050214293?loc=P_0005_009,1.0
救命稻草,孫元平,寂寞,2024-04-01,79.0,316,https://www.books.com.tw/products/0010985000?loc=P_0005_010,1.0
救命稻草 (電子書),孫元平,寂寞,2024-04-01,88.0,246,https://www.books.com.tw/products/E050210417?loc=P_0005_011,1.0
金盞花心靈洗滌所,尹淨銀,寂寞,2024-03-01,79.0,331,https://www.books.com.tw/products/0010982914?loc=P_0005_012,1.0
金盞花心靈洗滌所【網書限量贈-國際藝術家Daria Song特繪書籍主視覺海報】,尹淨銀,寂寞,2024-03-01,79.0,331,https://www.books.com.tw/products/0010982915?loc=P_0005_013,1.0
金盞花心靈洗滌所 (電子書),尹淨銀,寂寞,2024-03-01,88.0,258,https://www.books.com.tw/products/E050204153?loc=P_0005_014,1.0
明亮燦爛的你,雪比．范．裴特,寂寞,2024-02-01,79.0,379,https://www.books.com.tw/products/0010980263?loc=P_0005_015,1.0
明亮燦爛的你 (電子書),雪比．范．裴特,寂寞,2024-02-01,88.0,295,https://www.books.com.tw/products/E050200386?loc=P_0005_016,1.0
