title,author,publisher,publication_date,discount,price,url,canbuy
拐點：站在AI顛覆世界的前夜,萬維鋼,先覺,2024-08-01,79.0,394,https://www.books.com.tw/products/0010995776?loc=P_0005_001,True
頂尖獵才公司的識人技術：無論工作、生活，只留對的人在身邊,小野壯彥,先覺,2024-08-01,79.0,284,https://www.books.com.tw/products/0010995780?loc=P_0005_002,True
頂尖獵才公司的識人技術：無論工作、生活，只留對的人在身邊 (電子書),小野壯彥,先覺,2024-08-01,,225,https://www.books.com.tw/products/E050227223?loc=P_0005_003,True
利與贏：劉必榮談判實戰課,劉必榮,先覺,2024-07-01,79.0,323,https://www.books.com.tw/products/0010992767?loc=P_0005_004,True
利與贏：劉必榮談判實戰課【博客來獨家!限量親簽版】,劉必榮,先覺,2024-07-01,79.0,323,https://www.books.com.tw/products/0010992768?loc=P_0005_005,True
利與贏：劉必榮談判實戰課 (電子書),劉必榮,先覺,2024-07-01,88.0,252,https://www.books.com.tw/products/E050223262?loc=P_0005_006,True
高效工作者必備的秒懂溝通：哈佛教授教你輕鬆贏得注意力與信賴,"泰德．羅傑斯,潔西卡．雷斯基─芬克",先覺,2024-06-01,79.0,316,https://www.books.com.tw/products/0010989977?loc=P_0005_007,True
高效工作者必備的秒懂溝通：哈佛教授教你輕鬆贏得注意力與信賴 (電子書),"泰德．羅傑斯,潔西卡．雷斯基─芬克",先覺,2024-06-01,88.0,246,https://www.books.com.tw/products/E050217705?loc=P_0005_008,True
成就密碼：任何人都能實現夢想的技能,丹尼爾．科伊爾,先覺,2024-05-01,79.0,323,https://www.books.com.tw/products/0010987630?loc=P_0005_009,True
行為經濟學是最強商業武器：善用人的不理性，一次改變千萬人,相良奈美香,先覺,2024-05-01,79.0,308,https://www.books.com.tw/products/0010987634?loc=P_0005_010,True
成就密碼：任何人都能實現夢想的技能 (電子書),丹尼爾．科伊爾,先覺,2024-05-01,88.0,252,https://www.books.com.tw/products/E050214288?loc=P_0005_011,True
行為經濟學是最強商業武器：善用人的不理性，一次改變千萬人 (電子書),相良奈美香,先覺,2024-05-01,88.0,240,https://www.books.com.tw/products/E050214295?loc=P_0005_012,True
驢子法則：人生很長，跑得快的不一定笑到最後,瑞秋．安妮．里奇,先覺,2024-04-01,79.0,316,https://www.books.com.tw/products/0010985012?loc=P_0005_013,True
驢子法則：人生很長，跑得快的不一定笑到最後 (電子書),瑞秋．安妮．里奇,先覺,2024-04-01,88.0,246,https://www.books.com.tw/products/E050210413?loc=P_0005_014,True
大膽行動：哈佛心理學教授破解負能量，改變人生三步驟,盧安娜．馬奇斯,先覺,2024-03-01,79.0,339,https://www.books.com.tw/products/0010982899?loc=P_0005_015,True
大膽行動：哈佛心理學教授破解負能量，改變人生三步驟 (電子書),盧安娜．馬奇斯,先覺,2024-03-01,88.0,264,https://www.books.com.tw/products/E050204148?loc=P_0005_016,True
極簡行銷課：什麼都能賣!創造流量、達成業績的關鍵5步驟,"J.J.彼得森,唐納．米勒",先覺,2024-03-01,79.0,284,https://www.books.com.tw/products/0010982926?loc=P_0005_017,True
極簡行銷課：什麼都能賣!創造流量、達成業績的關鍵5步驟 (電子書),"J.J.彼得森,唐納．米勒",先覺,2024-03-01,88.0,220,https://www.books.com.tw/products/E050204147?loc=P_0005_018,True
所有的生命都在流動：大海給你我的生命指引,洛朗絲．德維萊爾,先覺,2024-02-01,79.0,300,https://www.books.com.tw/products/0010980259?loc=P_0005_019,True
所有的生命都在流動：大海給你我的生命指引 (電子書),洛朗絲．德維萊爾,先覺,2024-02-01,88.0,234,https://www.books.com.tw/products/E050200381?loc=P_0005_020,True
提高思考解析度：4個視角，將模糊想法化為精準行動,馬田隆明,先覺,2024-01-01,79.0,347,https://www.books.com.tw/products/0010976758?loc=P_0005_021,True
