title,author,publisher,publication_date,discount,price,url,canbuy
封神榜Ⅱ-西岐大會戰,蔡志忠,時報出版,1991-09-05,9.0,135,https://www.books.com.tw/products/0010166260?loc=P_0005_061,False
腦筋急轉彎(9)-幽默類,敖幼祥,時報出版,1991-07-10,9.0,72,https://www.books.com.tw/products/0010100319?loc=P_0005_062,False
腦筋急轉彎(10)--幽默類,曾正忠,時報出版,1991-07-10,9.0,72,https://www.books.com.tw/products/0010100320?loc=P_0005_063,False
腦筋急轉彎(11)--幽默類,"腦筋急救站,麥仁杰",時報出版,1991-07-10,9.0,72,https://www.books.com.tw/products/0010100321?loc=P_0005_064,False
腦筋急轉彎(12)--幽默類,孫家裕.嘎嘎,時報出版,1991-07-10,9.0,72,https://www.books.com.tw/products/0010100322?loc=P_0005_065,False
腦筋急轉彎(8)--幽默類,"腦筋急救站,麥仁杰",時報出版,1991-06-19,9.0,72,https://www.books.com.tw/products/0010100317?loc=P_0005_066,False
腦筋急轉彎(7)-幽默類,"曲曲,腦筋急救站",時報出版,1991-05-15,9.0,72,https://www.books.com.tw/products/0010100316?loc=P_0005_067,False
腦筋急轉彎(3)-幽默類,阿江,時報出版,1990-07-04,9.0,72,https://www.books.com.tw/products/0010070193?loc=P_0005_068,False
瘋狂日記 (幽默類),蕭言中,時報出版,1990-07-04,9.0,72,https://www.books.com.tw/products/0010100306?loc=P_0005_069,False
腦筋急轉彎(4)-幽默類,阿江,時報出版,1990-07-02,9.0,72,https://www.books.com.tw/products/0010070194?loc=P_0005_070,False
腦筋急轉彎(5)-幽默類,阿江,時報出版,1990-06-29,9.0,72,https://www.books.com.tw/products/0010100305?loc=P_0005_071,False
兵學的先知--孫子說 (知識類),蔡志忠,時報出版,1990-05-11,79.0,118,https://www.books.com.tw/products/0010070192?loc=P_0005_072,True
赫遜河畔談中國歷史,黃仁宇,時報出版,1989-10-17,9.0,252,https://www.books.com.tw/products/0010069541?loc=P_0005_073,False
亂世的哲思--孟子說(知識類),蔡志忠,時報出版,1989-10-15,9.0,126,https://www.books.com.tw/products/0010100303?loc=P_0005_074,True
台灣紀事(下)--台灣歷史上的今天,莊永明,時報出版,1989-10-10,9.0,540,https://www.books.com.tw/products/0010069902?loc=P_0005_075,False
悲歡的歌者--唐詩說(知識類),蔡志忠,時報出版,1989-02-15,9.0,144,https://www.books.com.tw/products/0010100294?loc=P_0005_076,True
法家的峻言--韓非子說,蔡志忠,時報出版,1989-01-15,9.0,135,https://www.books.com.tw/products/0010100298?loc=P_0005_077,False
人生的滋味--菜根譚(知識類),蔡志忠,時報出版,1988-07-15,9.0,162,https://www.books.com.tw/products/0010100289?loc=P_0005_078,False
博大的學問--大學 (知識類),蔡志忠,時報出版,1988-07-15,9.0,72,https://www.books.com.tw/products/0010100292?loc=P_0005_079,False
和諧的人生--中庸 (知識類),蔡志忠,時報出版,1988-07-15,9.0,90,https://www.books.com.tw/products/0010100293?loc=P_0005_080,False
儒者的諍言--論語 (知識類),蔡志忠,時報出版,1988-04-15,9.0,99,https://www.books.com.tw/products/0010100297?loc=P_0005_081,False
曹溪的佛唱--六祖壇經(知識類),蔡志忠,時報出版,1988-02-15,9.0,108,https://www.books.com.tw/products/0010100285?loc=P_0005_082,False
六朝的清談--世說新語(知識類),蔡志忠,時報出版,1987-10-15,9.0,117,https://www.books.com.tw/products/0010100282?loc=P_0005_083,False
西遊記38變III(幽默類),蔡志忠,時報出版,1987-07-15,9.0,81,https://www.books.com.tw/products/0010100278?loc=P_0005_084,False
仁者的叮嚀--孔子說(知識類),蔡志忠,時報出版,1987-06-30,9.0,144,https://www.books.com.tw/products/0010100279?loc=P_0005_085,False
左傳,孫鐵剛,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010060549?loc=P_0005_086,False
論語,宋淑萍,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071328?loc=P_0005_087,True
孟子,林鎮國,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071329?loc=P_0005_088,True
老子,余培林,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071330?loc=P_0005_089,False
莊子,羅龍治,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071331?loc=P_0005_090,False
墨子,周富美,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071332?loc=P_0005_091,False
荀子,陳修武,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071333?loc=P_0005_092,True
詩經 (上),裴溥言,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071336?loc=P_0005_093,False
詩經 (下),裴溥言,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071337?loc=P_0005_094,False
禮記,周何,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071338?loc=P_0005_095,False
楚辭,呂正惠,時報出版,1987-01-15,9.0,90,https://www.books.com.tw/products/0010071339?loc=P_0005_096,False
