title,author,publisher,publication_date,discount,price,url,canbuy
把自己當回事：放大你的優勢、聽懂別人的訴求，做個擅長溝通的人,楊天真,圓神,2024-08-01,79.0,252,https://www.books.com.tw/products/0010995772?loc=P_0005_001,True
讀懂古人的痛，就能跳過現代的坑：史上最潮的國學經典,林俐君（綠君麻麻）,圓神,2024-08-01,79.0,339,https://www.books.com.tw/products/0010995791?loc=P_0005_002,True
成功9步驟【長銷20年經典】︰誰都能做到!一生富足的終極秘訣,詹姆斯．史金納,圓神,2024-07-01,79.0,379,https://www.books.com.tw/products/0010992766?loc=P_0005_003,True
絲路新娘︰自古以來，婚姻都是一場冒險,謝金魚,圓神,2024-07-01,79.0,323,https://www.books.com.tw/products/0010992764?loc=P_0005_004,True
戀家的人︰五個獨居女子的溫暖家居生活【暢銷破萬慶功版】,井田千秋,圓神,2024-06-01,79.0,284,https://www.books.com.tw/products/0010989945?loc=P_0005_005,True
別管明天，就這樣愛吧!,金秀敏,圓神,2024-06-01,9.0,315,https://www.books.com.tw/products/0010989959?loc=P_0005_006,True
別管明天，就這樣愛吧!【網書限量贈，關於愛情的模樣‧摺紙小海報】,金秀敏,圓神,2024-06-01,79.0,276,https://www.books.com.tw/products/0010989960?loc=P_0005_007,True
媽媽的說話練習2：培育內心堅韌、不畏失敗的不倒翁孩子,尹智映,圓神,2024-05-01,79.0,284,https://www.books.com.tw/products/0010987639?loc=P_0005_008,True
母愛的枷鎖，女兒的牢籠,齊藤彩,圓神,2024-04-01,79.0,276,https://www.books.com.tw/products/0010984984?loc=P_0005_009,True
有生之年，只想好好談場戀愛,孤島Joe,圓神,2024-03-01,79.0,308,https://www.books.com.tw/products/0010982902?loc=P_0005_010,True
有生之年，只想好好談場戀愛【網書限量.孤島明信片】,孤島Joe,圓神,2024-03-01,79.0,308,https://www.books.com.tw/products/0010982905?loc=P_0005_011,True
好事即將發生：史努比Snoopy陪你找到自我認同，激勵低潮人生,"亞伯拉罕．托爾斯基,查爾斯．M．舒茲",圓神,2024-03-01,79.0,268,https://www.books.com.tw/products/0010982877?loc=P_0005_012,True
改寫你的金錢心靈帳簿(附金錢覺察卡隨身版+週記本)：解讀金錢記憶，預約財富自由,張瑜芬,圓神,2024-02-01,79.0,323,https://www.books.com.tw/products/0010980254?loc=P_0005_013,True
長途旅客,豆苗先生,圓神,2024-02-01,79.0,308,https://www.books.com.tw/products/0010980269?loc=P_0005_014,True
憤怒日記：誠實面對欲望，在殘酷世界迎向勝利,孫秀賢,圓神,2024-01-01,79.0,323,https://www.books.com.tw/products/0010976756?loc=P_0005_015,True
你的謎底，我的謎題,小川哲,圓神,2024-01-01,79.0,260,https://www.books.com.tw/products/0010976754?loc=P_0005_016,True
戀家的人︰五個獨居女子的溫暖家居生活,井田千秋,圓神,2023-12-01,79.0,284,https://www.books.com.tw/products/0010973841?loc=P_0005_017,True
深入內在的轉化與修行：獲得心靈真正的自由,朱筧立仁波切,圓神,2023-12-01,79.0,237,https://www.books.com.tw/products/0010973888?loc=P_0005_018,True
宜日日好日：好日曆，陪伴你長成更好的大人,好日曆,圓神,2023-11-02,9.0,468,https://www.books.com.tw/products/0010971311?loc=P_0005_019,True
宜日日好日：好日曆，陪伴你長成更好的大人【親簽+月曆】,好日曆,圓神,2023-11-02,79.0,600,https://www.books.com.tw/products/0010971312?loc=P_0005_020,True
HOLD不住的才是人生：媽媽、老婆、女兒、女明星，沒一個做得好，卻把自己過得很好!,謝依霖（HOLD住姐）,圓神,2023-11-01,9.0,369,https://www.books.com.tw/products/0010971296?loc=P_0005_021,True
奪取天下的少女【2024本屋大賞第1名!連奪14座冠軍!】,宮島未奈,圓神,2023-11-01,79.0,276,https://www.books.com.tw/products/0010971339?loc=P_0005_022,True
失去的喜悅：朦朧黑暗中所見的人生美好,法蘭克．布魯尼,圓神,2023-10-01,9.0,369,https://www.books.com.tw/products/0010968584?loc=P_0005_023,True
找回自己，找回親密,巴小波,圓神,2023-09-01,79.0,268,https://www.books.com.tw/products/0010965788?loc=P_0005_024,True
這些人，那些事【歲月淬鍊增訂版，全新收錄動人篇章】,吳念真,圓神,2023-09-01,79.0,284,https://www.books.com.tw/products/0010965797?loc=P_0005_025,True
感動的時刻，力量最大：真情相待，都是人性美與善的循環,戴晨志,圓神,2023-08-01,9.0,342,https://www.books.com.tw/products/0010962987?loc=P_0005_026,True
關鍵思維：解除焦慮，成為不凡的關鍵人物,馬克凡（Mark Ven）,圓神,2023-08-01,79.0,276,https://www.books.com.tw/products/0010962993?loc=P_0005_027,True
寫作課：陳雪給創作者的12道心法,陳雪,圓神,2023-07-01,79.0,316,https://www.books.com.tw/products/0010960174?loc=P_0005_028,True
真人真事真有事：那些課本沒有教的小故事、大歷史,Zass17,圓神,2023-07-01,9.0,297,https://www.books.com.tw/products/0010960203?loc=P_0005_029,True
心理能量使用說明書：安度靈魂暗夜，迎來豐盛人生,蘇予昕,圓神,2023-06-01,79.0,300,https://www.books.com.tw/products/0010957469?loc=P_0005_030,True
極光飯糰手習帖：免基礎、零失敗的140道超人氣料理,極光,圓神,2023-06-01,79.0,355,https://www.books.com.tw/products/0010957482?loc=P_0005_031,True
鐵道員【直木獎名作‧淺田次郎經典新譯】,淺田次郎,圓神,2023-06-01,9.0,342,https://www.books.com.tw/products/0010957483?loc=P_0005_032,True
從我開始的關係功課：先和自己打好關係，才能與他人建立好感連結,"徐慧玲 Lynn,羅鈞鴻（小虎）",圓神,2023-05-01,9.0,315,https://www.books.com.tw/products/0010954898?loc=P_0005_033,True
媽媽的說話練習：百萬按讚肯定!說對一句話，祝福孩子一生(附贈親子減壓溝通練習手冊),尹智映,圓神,2023-05-01,79.0,292,https://www.books.com.tw/products/0010954902?loc=P_0005_034,True
你不能選擇出身，但能活出想要的人生：大姐Selena寫給不甘現狀、不想放棄的你,陳珮甄 Selena,圓神,2023-04-01,79.0,276,https://www.books.com.tw/products/0010952675?loc=P_0005_035,True
安好誌(安然‧美好雙書腰，隨機出貨),白安,圓神,2023-03-01,9.0,369,https://www.books.com.tw/products/0010950238?loc=P_0005_036,True
心中住著野孩子,凱莉哥,圓神,2023-03-01,79.0,308,https://www.books.com.tw/products/0010950231?loc=P_0005_037,True
車上的女兒,宇佐見鈴,圓神,2023-03-01,9.0,288,https://www.books.com.tw/products/0010950243?loc=P_0005_038,True
我決定刻薄地生活：在不受傷害的情況下，打動人心的關係心理學【隨書加贈「自信有理，刻薄無罪!」金句書籤】,楊昌順,圓神,2023-02-01,66.0,237,https://www.books.com.tw/products/0010947064?loc=P_0005_039,True
假裝自己很外向，你在迎合什麼?：外向孤獨者的勇氣之書,楊思遠,圓神,2023-02-01,66.0,184,https://www.books.com.tw/products/0010947066?loc=P_0005_040,True
共擔池上：梁正賢翻轉地方的思維與商戰,梁正賢,圓神,2023-01-01,79.0,268,https://www.books.com.tw/products/0010945068?loc=P_0005_041,True
愛對自己,女王,圓神,2023-01-01,79.0,347,https://www.books.com.tw/products/0010945073?loc=P_0005_042,True
看似簡單卻說不出口的英文，原來這樣講,學英文吧IVY BAR,圓神,2022-12-01,7.0,280,https://www.books.com.tw/products/0010941887?loc=P_0005_043,True
執筆的欲望,席慕蓉,圓神,2022-12-01,9.0,441,https://www.books.com.tw/products/0010941905?loc=P_0005_044,True
